Country Name,Country Code,Series,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Andorra,AND,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,AND,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,AND,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.42132,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,94.05665,92.45637,NA,NA,NA,105.88815,NA,NA,NA,NA
Angola,AGO,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.79943,0.62922,NA,NA,NA,0.87413,NA,NA,NA,NA
Angola,AGO,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,730775,773837,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ATG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ATG,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,107.29104,106.41579,105.35117,NA,103.29183,103.16389,NA,102.82641,104.59891,NA
Antigua and Barbuda,ATG,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.91542,0.92814,0.95211,NA,0.94992,0.96619,NA,0.98406,0.99208,NA
Antigua and Barbuda,ATG,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,368,170,431,NA,534,117,NA,235,66,NA
Arab World,ARB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arab World,ARB,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,92.08309,91.42187,93.87269,92.85067,92.77944,92.52657,92.39304,92.61421,92.84049,93.07939
Arab World,ARB,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.9229,0.91804,0.92944,0.93089,0.93668,0.94095,0.94133,0.94452,0.94617,0.94882
Arab World,ARB,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,6389977,6612852,6635164,7112736,7478493,7509429,7567118,7438706,7486016,7677399
Argentina,ARG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.01971,5.29063,5.34583,5.43661,5.36144,5.77611,5.54549,5.46223,NA,NA
Argentina,ARG,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,116.22167,114.91864,113.53876,111.52934,111.34255,111.2357,110.60607,109.62778,NA,NA
Argentina,ARG,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.98741,0.98824,0.98823,0.99157,0.99794,0.99881,0.99764,0.99797,NA,NA
Argentina,ARG,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,25533,24042,24382,17457,4205,2420,19510,18743,NA,NA
Armenia,ARM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.249,3.14385,2.77248,2.65018,2.24724,2.80591,2.75812,2.70759,NA,NA
Armenia,ARM,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,100.71847,99.44019,99.61921,99.10623,97.53677,95.77111,94.96555,94.2442,92.6959,92.10543
Armenia,ARM,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.03138,1.01835,1.0133,1.01253,1.01302,1.01521,1.0089,1.00321,0.99961,1.00534
Armenia,ARM,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,6728,5023,4874,8641,10601,11786,12428,11426,14928
Aruba,ABW,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.92927,6.11913,6.54906,6.50538,5.90521,5.97571,5.52415,NA,NA,NA
Aruba,ABW,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,113.03634,103.71852,105.40282,114.72793,115.20468,NA,NA,NA,NA,NA
Aruba,ABW,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.98696,0.97171,1.02508,0.9781,0.96864,NA,NA,NA,NA,NA
Aruba,ABW,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,79,NA,NA,NA,7,NA,NA,NA,NA,NA
Australia,AUS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.55006,5.07451,4.869,5.22974,5.16477,5.31127,5.27678,5.12425,NA,NA
Australia,AUS,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,105.52375,105.54086,105.7682,105.83486,105.32171,101.61505,100.73303,100.33393,100.1046,NA
Australia,AUS,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99824,0.99726,0.99603,0.99708,0.9975,1.00029,0.99978,0.9999,0.99891,NA
Australia,AUS,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,9666,44871,39575,1212,1742,1861,955,7031,9614,NA
Austria,AUT,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.70048,5.59227,5.4804,5.54711,5.44762,5.45658,5.48435,5.35804,NA,NA
Austria,AUT,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,99.125,99.25192,100.1678,100.63965,101.29374,101.52334,101.99711,102.96837,103.04343,NA
Austria,AUT,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.98708,0.99052,0.99167,0.98905,0.99359,0.99097,0.99492,0.99727,0.99488,NA
Austria,AUT,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,7641,9350,5423,3318,2102,1512,663,149,143,NA
Azerbaijan,AZE,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.78062,2.43564,2.06763,2.44213,2.63304,2.95168,2.90341,2.47382,2.45543,NA
Azerbaijan,AZE,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,93.23661,94.57047,96.88853,98.8165,105.49295,105.63598,105.8647,104.19372,100.01462,99.53544
Azerbaijan,AZE,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.98953,0.98052,0.97977,0.96903,0.99002,0.98318,0.99011,1.01633,1.00546,1.03081
Azerbaijan,AZE,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,64067,49999,38511,8544,3638,5980,4338,12166,24803,55687
"Bahamas, The",BHS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas, The",BHS,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,88.00042,93.52548,88.17143,81.2956,82.33325,85.06866,81.7346,NA,81.15878,NA
"Bahamas, The",BHS,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.97931,0.97879,0.97294,0.97247,0.97952,0.97338,1.00666,NA,0.99507,NA
"Bahamas, The",BHS,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,7390,4371,6347,8729,8422,6982,8399,NA,8533,NA
Bahrain,BHR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,2.64531,2.47689,2.46746,2.66808,NA,2.32781,NA,NA
Bahrain,BHR,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,NA,95.7298,95.77789,98.50305,100.35145,101.70948,102.16062,100.99798,98.75316,97.73763
Bahrain,BHR,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,NA,1.01779,1.00892,1.01669,1.01229,1.00991,1.02083,0.9958,0.98787,0.99417
Bahrain,BHR,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,7477,6848,5702,3777,1408,1350,585,1188,2770
Bangladesh,BGD,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,2.1327,2.1755,1.96616,NA,NA,1.53554,NA,NA,1.32632
Bangladesh,BGD,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,109.25345,NA,NA,NA,NA,NA,NA,119.05796,120.75175,NA
Bangladesh,BGD,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.06251,NA,NA,NA,NA,NA,NA,1.07176,1.07471,NA
Bangladesh,BGD,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,803773,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barbados,BRB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.0544,NA,5.26274,5.14899,6.1435,NA,4.95139,4.36638,NA,NA
Barbados,BRB,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,100.39665,98.32091,NA,NA,95.40845,95.57431,97.16936,96.00156,97.46608,98.15725
Barbados,BRB,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.01582,1.00073,NA,NA,1.00442,0.99302,0.99771,0.96503,0.96328,0.95805
Barbados,BRB,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,500,981,NA,NA,1449,905,418,719,328,212
Belarus,BLR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.22004,4.68479,4.95964,5.00942,4.81831,4.78752,4.94655,4.79499,NA,NA
Belarus,BLR,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,104.25981,102.06472,99.84607,98.30365,98.46263,99.22947,101.22424,101.67542,100.38261,NA
Belarus,BLR,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99795,0.99883,1.00062,1.00191,1.00314,1.00156,1.00284,0.99448,0.99773,NA
Belarus,BLR,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,2298,2463,2022,6252,7716,5885,2107,3556,5544,NA
Belgium,BEL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.44259,6.43199,NA,6.63053,6.59047,6.45157,6.45954,6.41228,NA,NA
Belgium,BEL,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,101.80219,101.84109,102.03899,103.89094,103.63292,103.06613,103.25745,103.9583,103.60319,NA
Belgium,BEL,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99766,0.99797,0.99586,1.0013,0.99971,0.9983,0.99886,1.00099,1.00478,NA
Belgium,BEL,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,11467,10445,8491,8887,9806,7403,5451,2164,4131,NA
Belize,BLZ,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.71981,NA,NA,6.42536,6.61473,6.88889,7.28477,7.50989,7.56149,NA
Belize,BLZ,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,110.31811,108.94403,111.82892,109.41333,108.85525,110.18898,111.62242,110.36801,108.73155,108.59159
Belize,BLZ,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.96103,0.95712,0.96648,0.956,0.95336,0.95398,0.95204,0.95157,0.9492,0.96679
Belize,BLZ,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,815,1048,115,436,293,190,240,148,302,221
Benin,BEN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.67997,NA,3.56202,3.32751,3.16179,3.17298,2.8991,3.53559,2.93397,NA
Benin,BEN,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,113.18227,115.83195,120.94827,122.963,124.42811,127.615,126.53536,122.3356,117.95891,112.39728
Benin,BEN,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.89164,0.8949,0.90724,0.91521,0.92427,0.93024,0.93627,0.93503,0.93733,0.92968
Benin,BEN,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,75552,77060,67812,NA,59910,NA,NA,52739,50858,120970
Bermuda,BMU,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.64421,NA,NA,NA,1.78285,1.6986,NA,1.50039,NA,NA
Bermuda,BMU,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,NA,97.55535,95.58685,95.41109,96.54165,100.19871,NA,NA,NA,NA
Bermuda,BMU,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,NA,0.98386,0.96771,0.97206,0.96997,0.98176,NA,NA,NA,NA
Bermuda,BMU,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,164,315,NA,NA,NA,NA,NA,NA,NA
Bhutan,BTN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.12473,4.76523,NA,5.72275,6.0449,7.5901,6.99333,7.22574,6.85084,NA
Bhutan,BTN,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,109.44818,111.66232,112.7385,107.47085,106.22304,104.80431,102.90592,101.26469,100.22383,NA
Bhutan,BTN,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.02275,1.01408,1.01488,1.00978,1.01405,1.01085,1.00472,0.99865,1.00166,NA
Bhutan,BTN,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,12718,11078,8424,8830,NA,9398,9687,9574,7456,NA
Bolivia,BOL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia,BOL,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,104.21731,100.28627,97.59756,95.94832,94.75959,94.9035,95.74906,96.87381,97.64904,NA
Bolivia,BOL,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99433,0.99223,0.98645,0.9787,0.97691,0.97968,0.98378,0.98696,0.99004,NA
Bolivia,BOL,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,71018,107307,148890,157794,160472,154801,140451,118356,95364,NA
Bosnia and Herzegovina,BIH,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,BIH,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,BIH,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,BIH,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,BWA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,BWA,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,NA,NA,104.10452,103.6491,102.14022,102.06448,NA,NA,NA,NA
Botswana,BWA,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,NA,NA,0.98179,0.97483,0.97034,0.97776,NA,NA,NA,NA
Botswana,BWA,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,NA,35318,35645,36284,NA,NA,NA,NA,NA
Brazil,BRA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.6488,5.73741,5.8551,5.83885,5.94848,6.24106,6.31404,6.32255,NA,NA
Brazil,BRA,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,NA,127.55449,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,BRA,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,NA,0.92918,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,BRA,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,489316,NA,NA,NA,NA,NA,NA,NA,NA
British Virgin Islands,VGB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.817,NA,NA,NA,NA,5.13479,NA,2.35899,2.46599,NA
British Virgin Islands,VGB,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,NA,101.20887,101.93462,103.45061,108.65922,114.52555,118.67794,125.92593,102.45763,NA
British Virgin Islands,VGB,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,NA,0.9581,0.9695,0.9576,0.954,0.93656,0.94539,0.95761,0.99819,NA
British Virgin Islands,VGB,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,2,171,103,20,NA,NA,NA,48,NA
Brunei Darussalam,BRN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.04661,3.3221,2.88959,NA,3.35319,NA,4.42541,NA,NA,NA
Brunei Darussalam,BRN,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,106.30196,106.48795,105.44908,105.92838,105.53414,105.34552,107.06718,104.86244,103.59343,100.53287
Brunei Darussalam,BRN,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99564,0.99404,0.99112,0.99665,1.00076,0.99665,0.99899,1.00009,1.00833,1.00842
Brunei Darussalam,BRN,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,NA,106,167,62,260,59,145,295,225
Bulgaria,BGR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.88239,3.56643,3.49485,4.0742,NA,NA,NA,4.0925,NA,NA
Bulgaria,BGR,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,108.15707,103.32466,99.89592,97.61666,96.28931,93.70726,90.58599,89.05228,87.19066,NA
Bulgaria,BGR,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.99688,0.99513,0.99165,0.99136,0.99253,0.98992,0.98943,0.99389,0.99441,NA
Bulgaria,BGR,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,450,514,6389,11428,15467,21711,29488,34641,39977,NA
Burkina Faso,BFA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.50223,3.98515,3.60316,4.08344,4.0533,3.67009,NA,5.60347,5.38379,NA
Burkina Faso,BFA,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,74.28184,78.47821,81.77779,84.26593,86.17988,87.20173,90.09287,92.92847,95.27731,94.28289
Burkina Faso,BFA,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.91012,0.92762,0.94733,0.96726,0.97429,0.97444,0.97828,0.9849,0.9835,0.99476
Burkina Faso,BFA,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,1041497,945880,945663,944859,937911,917327,761443,746617,689266,748275
Burundi,BDI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.77525,6.31925,6.16786,5.99536,6.78452,6.37054,4.692,4.76202,5.07865,NA
Burundi,BDI,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,136.38741,141.29478,140.26465,137.95144,136.47199,132.81546,129.4978,124.78438,122.17842,119.83962
Burundi,BDI,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.98866,1.00663,1.01582,1.01945,1.0328,1.02956,1.02292,1.01499,1.0125,1.01483
Burundi,BDI,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,59818,NA,NA,NA,NA,NA,NA,74286,114262,140973
Cabo Verde,CPV,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.56729,5.04361,NA,5.00144,4.96387,5.26691,5.28879,5.18175,NA,NA
Cabo Verde,CPV,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,107.02294,104.80273,103.47218,104.05089,103.22404,101.7281,100.23744,99.66911,100.4555,NA
Cabo Verde,CPV,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.9293,0.92575,0.9214,0.92664,0.92505,0.93139,0.9322,0.93291,0.93421,NA
Cabo Verde,CPV,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,3355,4140,3896,4249,4196,4110,4420,4306,3973,NA
Cambodia,KHM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.53379,1.51069,1.5609,2.05054,1.90939,NA,NA,NA,2.16286,NA
Cambodia,KHM,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,120.18495,117.84765,117.48235,117.56851,113.54032,116.65059,108.74761,106.46344,106.07808,105.0312
Cambodia,KHM,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.94355,0.93286,0.93234,0.90988,0.94616,0.99283,0.97469,0.97582,0.976,0.97389
Cambodia,KHM,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,117131,40924,40982,NA,84830,82584,134186,180125,186109,190043
Cameroon,CMR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.99366,2.76677,2.69718,2.76802,2.68713,2.76805,2.65423,3.15482,3.1312,NA
Cameroon,CMR,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,100.18631,99.69366,104.25835,NA,106.69805,109.93873,109.98694,104.50628,98.0121,100.20982
Cameroon,CMR,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.86391,0.86947,0.87633,NA,0.89088,0.89826,0.90038,0.90056,0.90162,0.90121
Cameroon,CMR,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,363235,187344,NA,174485,164168,192130,258823,NA,346513
Canada,CAN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.36993,5.27444,NA,NA,NA,NA,NA,NA,NA,NA
Canada,CAN,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,98.90506,98.54883,100.06698,100.91373,102.15868,102.90796,101.06847,100.81914,101.2754,NA
Canada,CAN,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00521,1.00714,1.01077,1.01116,1.01199,1.00807,1.00086,0.99759,0.99566,NA
Canada,CAN,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,NA,12027,12482,13487,9238,1013,2753,5025,NA
Caribbean small states,CSS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caribbean small states,CSS,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,97.91643,99.17152,99.62442,98.8509,98.33717,99.94649,98.22032,97.32838,97.15853,95.45425
Caribbean small states,CSS,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.97917,0.98228,0.98525,0.97254,0.97647,1.00311,0.98007,0.98024,0.97172,0.98267
Caribbean small states,CSS,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,53525,49852,51087,54402,55271,51935,55824,60576,64658,67504
Cayman Islands,CYM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayman Islands,CYM,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,NA,95.52168,93.25323,88.38361,NA,NA,NA,NA,86.12836,NA
Cayman Islands,CYM,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,NA,1.04012,1.03064,1.0195,NA,NA,NA,NA,0.96686,NA
Cayman Islands,CYM,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,482,499,598,NA,NA,NA,NA,511,NA
Central African Republic,CAF,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.11761,1.10792,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,CAF,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,73.40723,74.54874,75.71212,NA,NA,NA,89.3694,NA,NA,NA
